,movie_urls,movie_titles,release_year,genres,imdb_ratings,runtime,age_ratings,prod_countries,streaming_services
58,https://www.justwatch.com/in/movie/scoop-0,Title not found,Year not found,NA,,NA,NA,NA,NA
59,https://www.justwatch.com/in/movie/speak-no-evil-2022,Title not found,Year not found,NA,,NA,NA,NA,NA
60,https://www.justwatch.com/in/movie/swatantra-veer-savarkar,Title not found,Year not found,NA,,NA,NA,NA,NA
61,https://www.justwatch.com/in/movie/por,Title not found,Year not found,NA,,NA,NA,NA,NA
62,https://www.justwatch.com/in/movie/maidaan,Title not found,Year not found,NA,,NA,NA,NA,NA
63,https://www.justwatch.com/in/movie/rebel-2024,Title not found,Year not found,NA,,NA,NA,NA,NA
64,https://www.justwatch.com/in/movie/rush-2013,Title not found,Year not found,NA,,NA,NA,NA,NA
65,https://www.justwatch.com/in/movie/yodha-2022,Title not found,Year not found,NA,5.5,NA,NA,NA,NA
66,https://www.justwatch.com/in/movie/tillu-square,Title not found,Year not found,NA,,NA,NA,NA,NA
67,https://www.justwatch.com/in/movie/dunki,Title not found,Year not found,NA,,NA,NA,NA,"primevideo, netflix"
68,https://www.justwatch.com/in/movie/anweshippin-kandethum,Title not found,Year not found,NA,,NA,NA,NA,NA
69,https://www.justwatch.com/in/movie/pushpa,Title not found,Year not found,NA,,NA,NA,NA,NA
70,https://www.justwatch.com/in/movie/interstellar,Title not found,Year not found,NA,,NA,NA,NA,NA
71,https://www.justwatch.com/in/movie/k-g-f-chapter-2,Title not found,Year not found,NA,,NA,NA,NA,NA
72,https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver,Title not found,Year not found,NA,,NA,NA,NA,NA
73,https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa,Title not found,Year not found,NA,,NA,NA,NA,NA
74,https://www.justwatch.com/in/movie/ravening,Title not found,Year not found,NA,,NA,NA,NA,NA
75,https://www.justwatch.com/in/movie/tomb-raider,Title not found,Year not found,NA,,NA,NA,United States,NA
76,https://www.justwatch.com/in/movie/anchakkallakokkan,Title not found,Year not found,NA,,NA,NA,NA,NA
77,https://www.justwatch.com/in/movie/farrey,Title not found,Year not found,NA,,NA,NA,NA,NA
78,https://www.justwatch.com/in/movie/godzilla,Title not found,Year not found,NA,,NA,U,NA,NA
79,https://www.justwatch.com/in/movie/kong-skull-island,Title not found,Year not found,NA,,NA,NA,NA,NA
80,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,Title not found,Year not found,NA,,NA,NA,NA,NA
81,https://www.justwatch.com/in/movie/yatra-2,Title not found,Year not found,NA,,NA,NA,NA,NA
82,https://www.justwatch.com/in/movie/tee-yod,Title not found,Year not found,NA,,NA,NA,NA,NA
83,https://www.justwatch.com/in/movie/along-with-the-gods-the-two-worlds,Title not found,Year not found,NA,,NA,NA,NA,NA
84,https://www.justwatch.com/in/movie/jawan,Title not found,Year not found,NA,,NA,NA,NA,NA
85,https://www.justwatch.com/in/movie/jatt-nuu-chudail-takri,Title not found,Year not found,NA,,NA,NA,NA,NA
86,https://www.justwatch.com/in/movie/godzilla-king-of-the-monsters,Title not found,Year not found,NA,,NA,NA,NA,NA
87,https://www.justwatch.com/in/movie/aavesham-2024,Title not found,Year not found,NA,,NA,NA,NA,NA
88,https://www.justwatch.com/in/movie/ayalaan,Title not found,Year not found,NA,,NA,NA,NA,NA
89,https://www.justwatch.com/in/movie/dada-2023,Title not found,Year not found,NA,,NA,NA,NA,NA
90,https://www.justwatch.com/in/movie/new-york-i-love-you,Title not found,Year not found,NA,,NA,NA,NA,NA
91,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,Title not found,Year not found,"Mystery & Thriller, Drama",,44min,NA,NA,NA
92,https://www.justwatch.com/in/movie/kung-fu-panda-2,Title not found,Year not found,NA,,NA,NA,NA,NA
93,https://www.justwatch.com/in/movie/rockstar,Title not found,Year not found,NA,,NA,NA,NA,NA
94,https://www.justwatch.com/in/movie/john-wick,John Wick,Year not found,NA,,NA,NA,NA,NA
95,https://www.justwatch.com/in/movie/barbie-2023,Title not found,Year not found,NA,,NA,NA,NA,NA
96,https://www.justwatch.com/in/movie/case-of-kondana,Title not found,Year not found,NA,,NA,NA,NA,NA
97,https://www.justwatch.com/in/movie/joshua-imai-pol-kaka,Title not found,(2005),NA,,NA,NA,NA,NA
98,https://www.justwatch.com/in/movie/2012,Title not found,Year not found,NA,,NA,NA,NA,NA
99,https://www.justwatch.com/in/movie/night-of-the-hunted,Title not found,Year not found,NA,,NA,NA,NA,NA
